"cohort","country","X1_sand.size","X2_sand.rate","X3_sand.total.duration..years.","X4_sand.share.of.lifespan....","X5_gsand.size","X6_gsand.rate","X7_gsand.total.duration..years.","X8_gsand.share.of.lifespan...."
2005,"MEX",50.3,2.2,3.3,4,51,2,4.7,5.6
2040,"MEX",47.5,1.8,3,3.5,50.9,1.8,4.6,5.4
1970,"MKD",51.7,2.6,3.7,4.7,43,1.7,3.6,4.5
2005,"MKD",52.2,2.4,3.7,4.5,37.5,1.2,2.8,3.3
2040,"MKD",58.5,2.5,4.3,5,34.9,0.9,2.4,2.8
1970,"MLI",49.1,5.8,4.9,9.9,37.9,2.6,2.9,5.8
2005,"MLI",65.9,5.5,6.4,9.9,53.2,2.9,4.6,7.2
2040,"MLI",64.8,4.3,5.7,8,48.6,2,4,5.6
1970,"MLT",51.6,2.1,3.4,4,46.9,1.5,3.9,4.6
2005,"MLT",48.5,1.8,3.2,3.5,43.1,1.3,3.4,3.8
2040,"MLT",51.9,2,3.5,3.8,41,1.1,3.1,3.4
1970,"MMR",58.8,4.4,5,7.7,34.1,1.4,2.3,3.5
